year,ai_exposed_minutes,low_exposure_physical_minutes,ai_exposed_sample_n,low_exposure_physical_sample_n,ai_exposed_weighted_engaged_population,low_exposure_physical_weighted_engaged_population,respondents,weighted_population
2003,24.99709359281495,98.76381959838488,6772,15251,28225922665.098984,57205788491.837814,20720,82231180900.71338
2004,25.43434123795781,97.20754559587795,4700,10345,28711603801.55461,58389918921.64926,13973,83258298674.06082
2005,25.842587941902508,98.18734365713529,4622,9707,30321934371.83615,59536688108.58401,13038,84106031055.5503
2006,25.25323973134577,97.2759093223731,4674,9649,31495438511.33486,59579244797.3705,12943,85089676116.73608
2007,25.86384808283485,99.09281928097859,4437,9037,31931682258.18274,60839296536.326004,12248,86178611590.07242
2008,26.66070344132544,93.40742829197187,4646,9401,33333137458.16062,60966388716.86774,12723,87110605127.49521
2009,27.313412409557543,97.0221021209025,4854,9914,33036349706.85599,63309006436.45116,13133,87562839263.67044
2010,25.81374214512924,97.5714270252833,4597,9969,31734633976.741386,63477495398.11534,13260,88298420349.01132
2011,24.21311198153654,96.05973663124512,4096,9261,29790236170.756554,62928535981.711845,12479,88932689145.80133
2012,25.890141015861026,94.10978861184002,4005,9262,30209572270.743126,63822664367.6595,12443,90543102852.11398
2013,26.81501245101854,96.2094656203656,3791,8502,31564903946.522793,64990380813.115295,11385,91180959380.73985
2014,23.970204902876574,96.85345926550772,3842,8787,31331146605.489853,66011962257.00995,11592,92011726950.26212
2015,26.197502466618726,99.52951880152621,3747,8337,32497551561.311897,68033519661.05061,10905,93083572397.90904
2016,26.894759356051264,97.86765246105047,3683,8121,33928852755.32284,69973493997.62064,10493,94334991186.07903
2017,25.446584813222856,97.57838232989072,3399,7803,32198250673.24709,68902232638.67209,10223,94609556505.88104
2018,26.56860014903341,95.10525138292904,3136,7366,32701586239.474358,69888203501.94089,9593,95591791614.77617
2019,27.5123413246107,94.7148666813513,3171,7374,33466332721.498264,72086654296.71495,9435,96127263296.37027
2021,27.58652747363871,104.99357332659092,2866,7189,31880883195.08232,73904922928.59637,9087,96954827934.68292
2022,25.13061474742973,102.04972840282005,2504,6455,30514954029.80406,73721974231.1625,8136,97953773079.4473
2023,24.357362374219694,104.2838917348317,2579,6837,29505777011.031216,75705107317.67287,8548,99037971127.1773
2024,25.54271834450667,108.52772421620327,2439,6243,31594002618.66702,77717158873.19858,7669,99885968916.21191
