group_id,pre_ai_exposure,pre_high_ai_share,pre_weighted_n,age_group,gender,education,income_group,parent_status,pre_ai_exposure_z,exposure_bin
25_34|women|hs|500_999_week|parent,0.07339253237455597,0.03652597475715347,1357301398.191398,25_34,women,hs,500_999_week,parent,0.0851820192216402,Q3
25_34|women|some_college|no_valid_earnings|parent,0.08612037457923535,0.055720113171778676,1928850084.4625912,25_34,women,some_college,no_valid_earnings,parent,0.7562940096481963,Q4_high
15_24|men|lt_hs|no_valid_earnings|parent,0.14260449355803442,0.1798609028997563,8632973128.165024,15_24,men,lt_hs,no_valid_earnings,parent,3.7345812091403214,Q4_high
45_54|men|hs|500_999_week|nonparent,0.06252110547506383,0.01720820937229723,1858356504.199632,45_54,men,hs,500_999_week,nonparent,-0.488045149057726,Q2
65_plus|men|ba_plus|500_999_week|nonparent,0.07077079084271358,0.031630671328975395,433027628.195306,65_plus,men,ba_plus,500_999_week,nonparent,-0.05305682358643914,Q3
55_64|men|lt_hs|no_valid_earnings|nonparent,0.06190627592251215,0.018562085856604696,1325133792.504645,55_64,men,lt_hs,no_valid_earnings,nonparent,-0.5204638008724326,Q2
35_44|men|hs|1000_1499_week|parent,0.06173856401595511,0.015766429141157494,1133391844.190791,35_44,men,hs,1000_1499_week,parent,-0.5293068922321248,Q2
45_54|women|ba_plus|500_999_week|parent,0.07448624443361246,0.03539452954543048,1013632923.073373,45_54,women,ba_plus,500_999_week,parent,0.1428511248801841,Q3
55_64|men|some_college|1500plus_week|nonparent,0.06338325428674851,0.01814214339028969,1129984885.504492,55_64,men,some_college,1500plus_week,nonparent,-0.4425858798627577,Q2
65_plus|women|ba_plus|no_valid_earnings|nonparent,0.08484894881284029,0.05111522174307359,9699164314.824497,65_plus,women,ba_plus,no_valid_earnings,nonparent,0.6892544389932979,Q4_high
35_44|women|some_college|1500plus_week|nonparent,0.05930539450315317,0.015053759567135788,71272201.553037,35_44,women,some_college,1500plus_week,nonparent,-0.657602734411986,Q1_low
15_24|women|lt_hs|no_valid_earnings|parent,0.1438006669968175,0.17601563773379017,8839788917.792921,15_24,women,lt_hs,no_valid_earnings,parent,3.797652884958392,Q4_high
65_plus|men|ba_plus|no_valid_earnings|nonparent,0.0825307920503858,0.04941647731199772,9548137582.863659,65_plus,men,ba_plus,no_valid_earnings,nonparent,0.5670229739929189,Q4_high
55_64|men|ba_plus|lt_500_week|parent,0.06735600653904068,0.022889428409837088,59549890.513849,55_64,men,ba_plus,lt_500_week,parent,-0.23311112140549403,Q3
45_54|women|hs|500_999_week|nonparent,0.0690114142438293,0.022190293394836823,1637641369.241925,45_54,women,hs,500_999_week,nonparent,-0.14582500158545902,Q3
55_64|women|ba_plus|lt_500_week|nonparent,0.07346614453633646,0.031775854203311936,1114689613.0456922,55_64,women,ba_plus,lt_500_week,nonparent,0.0890634316101396,Q3
15_24|women|hs|no_valid_earnings|nonparent,0.09373611219822202,0.06635839364185551,1076051528.3610048,15_24,women,hs,no_valid_earnings,nonparent,1.1578556215737024,Q4_high
45_54|men|ba_plus|1500plus_week|parent,0.06541345451703226,0.021982558754104837,3632998666.536497,45_54,men,ba_plus,1500plus_week,parent,-0.3355377490327528,Q2
45_54|men|hs|500_999_week|parent,0.06247971651938031,0.01316518508104564,819053146.988333,45_54,men,hs,500_999_week,parent,-0.49022750047156055,Q2
45_54|women|ba_plus|lt_500_week|parent,0.07774742260741674,0.04104101495927018,737438915.8095299,45_54,women,ba_plus,lt_500_week,parent,0.31480609887827365,Q4_high
55_64|men|some_college|no_valid_earnings|nonparent,0.07190688954915864,0.03290800459500835,2713141334.850647,55_64,men,some_college,no_valid_earnings,nonparent,0.006847239642995274,Q3
45_54|women|some_college|no_valid_earnings|nonparent,0.0811210131495968,0.046235614911701965,1240567752.760553,45_54,women,some_college,no_valid_earnings,nonparent,0.49268833745711815,Q4_high
65_plus|women|hs|no_valid_earnings|nonparent,0.07436241939809757,0.03501113529298381,13601222787.26176,65_plus,women,hs,no_valid_earnings,nonparent,0.13632209468695264,Q3
35_44|women|ba_plus|500_999_week|parent,0.06930715485370016,0.026925583417774256,1926396383.680934,35_44,women,ba_plus,500_999_week,parent,-0.13023122958949335,Q3
55_64|women|some_college|no_valid_earnings|nonparent,0.08013375497238827,0.04441838229519173,3483742260.84418,55_64,women,some_college,no_valid_earnings,nonparent,0.44063231808505837,Q4_high
