group_id,year,cell_weight,respondents,household_production_minutes,care_minutes,education_minutes,admin_services_minutes,leisure_minutes,market_work_minutes,high_ai_minutes,ai_score_weighted_minutes,pre_ai_exposure,pre_high_ai_share,pre_weighted_n,age_group,gender,education,income_group,parent_status,pre_ai_exposure_z,exposure_bin
55_64|men|ba_plus|500_999_week|nonparent,2003,219119297.73784304,54,61.26177894002597,7.249276536492277,0.0,22.65857976152023,250.79211206389036,399.26209205129595,16.574826556001796,84.13145760975762,0.07890501672972076,0.04507734372008411,777832703.7689081,55_64,men,ba_plus,500_999_week,nonparent,0.3758435695690966,Q4_high
35_44|women|some_college|lt_500_week|parent,2003,576684357.8597829,212,139.46612146553676,89.43088268235246,2.605310796952436,52.29845628311304,213.78546829277326,244.3574337085106,37.8130940788927,102.53166508339528,0.07888041984257023,0.0407143202804793,1069849686.5439131,35_44,women,some_college,lt_500_week,parent,0.3745466281371998,Q4_high
25_34|women|some_college|lt_500_week|nonparent,2003,269481560.961209,57,94.5876461286351,8.516228580462473,46.569898129947596,36.58696870702793,217.89070218489817,321.24324909826373,63.73132755374962,110.73615987518151,0.07657082122542068,0.04408490430028403,633168813.1499032,25_34,women,some_college,lt_500_week,nonparent,0.25276641589731214,Q3
35_44|women|hs|no_valid_earnings|parent,2003,592295473.89502,174,210.65046022442596,121.23562409774578,10.122588473895151,65.00077281361858,276.95433135282155,58.23019963407793,58.8669072359582,116.80113298194762,0.07947459926471864,0.04063224702519357,1910095613.643861,35_44,women,hs,no_valid_earnings,parent,0.40587644259089556,Q4_high
45_54|men|ba_plus|no_valid_earnings|parent,2003,266075845.5693,80,75.02224689910669,56.012894734746475,8.208970969764609,40.46242450841539,266.96370261586276,318.99774449167984,59.36019409105086,110.80752718642677,0.07055174678307387,0.03190425766702225,872325452.523694,45_54,men,ba_plus,no_valid_earnings,parent,-0.06460654996518654,Q3
25_34|women|ba_plus|500_999_week|parent,2003,420429630.368397,132,80.96999863833642,107.07668078596592,12.979490079162927,48.12921510931618,169.1863648220404,313.32575460459293,41.75899505641806,102.72601307990406,0.06754787538298784,0.023848869533287534,1469975284.500928,25_34,women,ba_plus,500_999_week,parent,-0.2229942862270315,Q3
15_24|women|some_college|lt_500_week|parent,2003,471838322.75804406,92,41.131862957417006,58.41781768386349,74.24986877871831,40.40552816334201,262.5959633721489,215.87536013272822,100.35671991136898,131.56918393836185,0.10854817482518528,0.10785172678641221,1367148867.2758381,15_24,women,some_college,lt_500_week,parent,1.9388641124119588,Q4_high
25_34|women|some_college|500_999_week|parent,2003,333961870.366691,123,78.49034069335107,95.85804364745552,9.346574866126215,52.58705720225967,197.1093737994724,308.0645054048328,39.79858278642356,103.31943081196175,0.06884348850259388,0.02732441351088961,1676114264.104062,25_34,women,some_college,500_999_week,parent,-0.15467936799195992,Q3
25_34|men|some_college|500_999_week|parent,2003,341549516.096233,105,78.30531423900055,70.1712287494802,4.7960303997435725,37.414519908834,236.4937500748016,330.65802618301433,34.93608181795434,96.81895589719011,0.060052620173586896,0.015017462878569062,1055016393.743498,25_34,men,some_college,500_999_week,parent,-0.6182031174998412,Q1_low
25_34|women|some_college|lt_500_week|parent,2003,539112209.144306,202,100.40392498939055,121.47894099682225,22.872312669413553,51.29113779380806,215.8661560637998,219.56415659113844,55.31305280138281,110.1832002778411,0.07217186835109023,0.031147785825499708,1159602932.208463,25_34,women,some_college,lt_500_week,parent,0.020819007074223635,Q3
35_44|women|hs|lt_500_week|parent,2003,737069414.8779271,215,129.820569756822,82.42176044656735,7.920796676334045,51.07069750970903,212.6645000303698,242.6321402261941,41.4223427749857,103.74055630357863,0.07203510866851089,0.02600673124542361,1246887155.189774,35_44,women,hs,lt_500_week,parent,0.013607960511108493,Q3
15_24|men|lt_hs|no_valid_earnings|parent,2003,2001845826.0656562,387,34.6427923246299,9.22657983781537,188.27187027841933,31.661178041099184,398.7715034452207,9.277433072558233,213.07686915354785,182.47612317158993,0.14260449355803442,0.1798609028997563,8632973128.165024,15_24,men,lt_hs,no_valid_earnings,parent,3.7345812091403214,Q4_high
25_34|women|ba_plus|lt_500_week|parent,2003,199418570.47319496,69,116.2336670566796,183.23190864578393,19.41489765535589,68.70625480918184,204.06369979019357,162.76234396759358,53.84732121199991,114.83573866917435,0.07443023181856558,0.03497260471502519,506757334.952899,25_34,women,ba_plus,lt_500_week,parent,0.13989769907802496,Q3
45_54|women|ba_plus|500_999_week|parent,2003,237211565.05903,90,124.7395339081516,70.99579239466051,0.5792724797901635,70.35047170757791,208.26343594976535,253.3268162572288,47.08182052257197,110.05341476554008,0.07448624443361246,0.03539452954543048,1013632923.073373,45_54,women,ba_plus,500_999_week,parent,0.1428511248801841,Q3
55_64|women|hs|no_valid_earnings|nonparent,2003,872523020.162287,213,176.79332543094023,33.28710521586003,1.5063111153299087,87.95222319106149,377.3162605546816,51.540794685492706,58.14683377326656,116.3757409446424,0.074623663644251,0.036760378199215925,4361918158.0923195,55_64,women,hs,no_valid_earnings,nonparent,0.15009694695209633,Q3
25_34|women|ba_plus|lt_500_week|nonparent,2003,234844338.58717903,54,104.04321751796212,6.678132775674099,14.216324822906278,65.10971972551575,260.3202432837951,273.14209599957684,53.09783113291811,111.09899054238338,0.10287385949860928,0.0895208191407896,979580371.7329689,25_34,women,ba_plus,lt_500_week,nonparent,1.6396695598800075,Q4_high
45_54|women|some_college|no_valid_earnings|nonparent,2003,415814125.37485707,111,134.61641076000134,44.48811004986105,0.8152103331147605,79.41684167066613,387.4514915487255,49.75415311980885,74.7836095521414,120.19129847952296,0.0811210131495968,0.046235614911701965,1240567752.760553,45_54,women,some_college,no_valid_earnings,nonparent,0.49268833745711815,Q4_high
15_24|women|lt_hs|lt_500_week|parent,2003,1106828507.917459,213,31.336205851803076,22.713503798952864,171.41326092849386,48.811761259423314,269.87797936574293,169.74763372559877,201.9257556091214,179.26041576602145,0.12665806230053336,0.1407540176893718,2002580396.332831,15_24,women,lt_hs,lt_500_week,parent,2.893759878287614,Q4_high
45_54|men|some_college|no_valid_earnings|nonparent,2003,349219410.92934704,96,112.18734192862132,14.014893674095322,0.0,35.75358913445015,448.80650185078053,145.30172601608237,35.69642177317317,94.9437491696865,0.07754726927315668,0.04830418722180066,1251863153.5618453,45_54,men,some_college,no_valid_earnings,nonparent,0.3042524401837626,Q4_high
15_24|men|hs|lt_500_week|nonparent,2003,442568940.880726,59,20.330625099499365,39.83797779908478,14.15252727185331,31.08856610089819,314.2604750541218,261.28439979527076,38.45268623723104,97.85131773309132,0.0913599109744868,0.07777885660503417,1677053657.247504,15_24,men,hs,lt_500_week,nonparent,1.0325635958500747,Q4_high
25_34|women|hs|500_999_week|parent,2003,169618144.064529,59,104.78863126791538,103.23814607389903,8.21438236235844,46.3328536087574,228.84727761499155,280.6918525645187,32.26363507426447,98.39916279402443,0.07339253237455597,0.03652597475715347,1357301398.191398,25_34,women,hs,500_999_week,parent,0.0851820192216402,Q3
15_24|women|hs|no_valid_earnings|nonparent,2003,167595661.498936,25,99.82244921528854,4.622586980778488,82.57233553350254,59.380564301881535,422.9015865787041,15.622951934239648,101.48260627377867,134.72875771627068,0.09373611219822202,0.06635839364185551,1076051528.3610048,15_24,women,hs,no_valid_earnings,nonparent,1.1578556215737024,Q4_high
55_64|men|lt_hs|no_valid_earnings|nonparent,2003,308168810.79735196,78,94.41747163166279,35.07605291127717,0.0,33.784947761546064,507.8797469590885,35.94603308560258,27.973239286701176,91.22994088688186,0.06190627592251215,0.018562085856604696,1325133792.504645,55_64,men,lt_hs,no_valid_earnings,nonparent,-0.5204638008724326,Q2
55_64|women|hs|no_valid_earnings|parent,2003,107624411.53134301,33,213.46180280221103,78.27555458091821,0.0,53.97630293084577,397.5142317839572,33.944004863804594,31.582958035321703,98.85447088311787,0.08166522112948423,0.05255832953897003,397083154.950138,55_64,women,hs,no_valid_earnings,parent,0.5213832642730706,Q4_high
25_34|men|ba_plus|1500plus_week|nonparent,2003,151381931.906772,35,87.247822653817,6.839440529008605,3.529204799765145,36.93974164306673,215.38718560051555,351.43976980704434,16.279115423932577,88.47322544956582,0.06706684810709748,0.02729996077101728,3239374579.3177166,25_34,men,ba_plus,1500plus_week,nonparent,-0.2483578291890552,Q3
15_24|men|lt_hs|lt_500_week|nonparent,2003,381126562.835891,51,19.78983402221717,9.938701877449072,33.93527158457519,37.931074634277934,349.6714961322327,220.1309523219118,51.58770266756149,105.00994804194656,0.09836570908388814,0.08739417553590165,427831875.59623504,15_24,men,lt_hs,lt_500_week,nonparent,1.4019643975035059,Q4_high
45_54|men|ba_plus|1500plus_week|parent,2003,414938708.67370397,117,74.25587067790346,55.603762639976395,2.2167798228307656,48.68857205290996,207.2858047280682,373.1205719420399,48.18419602981359,106.21144688647931,0.06541345451703226,0.021982558754104837,3632998666.536497,45_54,men,ba_plus,1500plus_week,parent,-0.3355377490327528,Q2
65_plus|women|hs|no_valid_earnings|nonparent,2003,2756251246.797641,713,183.76025781037373,24.40479516214854,0.5282189606436303,65.92059033310123,437.50370097315346,4.333731351221372,43.39539267119718,103.72524373425634,0.07436241939809757,0.03501113529298381,13601222787.26176,65_plus,women,hs,no_valid_earnings,nonparent,0.13632209468695264,Q3
55_64|women|hs|lt_500_week|nonparent,2003,576373296.0483999,147,130.69258355654526,36.94848347568359,0.8111264066594032,67.41304539586297,250.33294621366622,228.97831027523267,37.63706666261837,102.75239470514099,0.06467673191316413,0.019828697264677866,1553798481.911973,55_64,women,hs,lt_500_week,nonparent,-0.37438356163187525,Q2
