outcome,exposure_group,period,weighted_mean_minutes,groups,cell_years
household_production_minutes,Q1_low,post_2023_2024,83.83393623330178,97,172
household_production_minutes,Q1_low,pre_2017_2022,75.6060131542086,113,464
household_production_minutes,Q4_high,post_2023_2024,114.005296982902,107,202
household_production_minutes,Q4_high,pre_2017_2022,100.89135029316732,113,519
care_minutes,Q1_low,post_2023_2024,32.24025497812112,97,172
care_minutes,Q1_low,pre_2017_2022,30.597158833172596,113,464
care_minutes,Q4_high,post_2023_2024,33.42172056314284,107,202
care_minutes,Q4_high,pre_2017_2022,34.25083477453781,113,519
education_minutes,Q1_low,post_2023_2024,3.269289237300775,97,172
education_minutes,Q1_low,pre_2017_2022,2.250685075495776,113,464
education_minutes,Q4_high,post_2023_2024,62.892046481071155,107,202
education_minutes,Q4_high,pre_2017_2022,69.02333880636054,113,519
admin_services_minutes,Q1_low,post_2023_2024,28.59258020865943,97,172
admin_services_minutes,Q1_low,pre_2017_2022,21.90288608874555,113,464
admin_services_minutes,Q4_high,post_2023_2024,52.98312487514306,107,202
admin_services_minutes,Q4_high,pre_2017_2022,56.36710663412423,113,519
leisure_minutes,Q1_low,post_2023_2024,257.93089781082125,97,172
leisure_minutes,Q1_low,pre_2017_2022,272.44612424109033,113,464
leisure_minutes,Q4_high,post_2023_2024,344.40913646822344,107,202
leisure_minutes,Q4_high,pre_2017_2022,346.47981681850774,113,519
market_work_minutes,Q1_low,post_2023_2024,310.7363741710975,97,172
market_work_minutes,Q1_low,pre_2017_2022,339.877170794679,113,464
market_work_minutes,Q4_high,post_2023_2024,84.34218405909863,107,202
market_work_minutes,Q4_high,pre_2017_2022,89.57837415780828,113,519
high_ai_minutes,Q1_low,post_2023_2024,25.6797684942037,97,172
high_ai_minutes,Q1_low,pre_2017_2022,17.883492476043365,113,464
high_ai_minutes,Q4_high,post_2023_2024,112.77173141497445,107,202
high_ai_minutes,Q4_high,pre_2017_2022,119.60561138472679,113,519
ai_score_weighted_minutes,Q1_low,post_2023_2024,89.97843058633748,97,172
ai_score_weighted_minutes,Q1_low,pre_2017_2022,85.44943505114111,113,464
ai_score_weighted_minutes,Q4_high,post_2023_2024,137.00802077319955,107,202
ai_score_weighted_minutes,Q4_high,pre_2017_2022,141.74722312249844,113,519
