activity_code,activity_text,year,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total,automation_score,automation_score_z,augmentation_score,ai_exposure_score,post_2023plus,automation_x_post,automation_z_x_post
010101,Sleeping,2017,522.8136549456374,10200,94457291305.62729,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010102,Sleeplessness,2017,5.364499873380589,732,6937868418.97686,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010199,"Sleeping, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010201,"Washing, dressing and grooming oneself",2017,40.67418138987229,7956,75764700240.15486,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010299,"Grooming, n.e.c.*",2017,0.01717788135051707,5,42995151.06578,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010301,Health-related self care,2017,4.381173129661911,770,6160338715.098075,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010399,"Self care, n.e.c.*",2017,0.3650094550642578,26,232124479.40632302,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010401,Personal/Private activities,2017,0.642130000414971,77,706661456.069523,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010499,"Personal activities, n.e.c.*",2017,0.004382411065065577,1,13820598.909744,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010501,Personal emergencies,2017,0.003547629983335735,1,6102539.988552,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
010599,"Personal care emergencies, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
019999,"Personal care, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020101,Interior cleaning,2017,21.034515881521816,2655,21864863715.189926,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020102,Laundry,2017,9.694033396717526,1873,14851546361.786787,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020103,"Sewing, repairing, & maintaining textiles",2017,0.9602810174667007,105,719669329.112437,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020104,"Storing interior hh items, inc. food",2017,1.3829051929698142,667,5616656757.502802,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020199,"Housework, n.e.c.*",2017,0.057163170111675064,9,49430842.482646,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020201,Food and drink preparation,2017,28.161582407945208,5806,51246901987.91647,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
020202,Food presentation,2017,0.3512385649706906,240,2249892539.091138,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
