activity_code,activity_text,period,participation_rate_weighted_pp,participation_rate_unweighted_pp,positive_respondents,respondents_total,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,post_2023plus,ai_exposure_x_post,ai_exposure_z_x_post
010101,Sleeping,post,99.88550195791439,99.86978948178353,8098.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010101,Sleeping,pre,99.86595044126658,99.82834607464602,9278.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010102,Sleeplessness,post,5.629366113854481,5.471387733940055,445.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010102,Sleeplessness,pre,6.763778849987986,6.838030593441158,640.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010199,"Sleeping, n.e.c.*",post,0.0,0.0,0.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010199,"Sleeping, n.e.c.*",pre,0.004332078466656,0.0020848535390380002,0.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010201,"Washing, dressing and grooming oneself",post,78.1953854163053,74.98292568644904,6079.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010201,"Washing, dressing and grooming oneself",pre,79.3401748078056,76.91909808328971,7155.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010299,"Grooming, n.e.c.*",post,0.03282273916968,0.03643679562926,3.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010299,"Grooming, n.e.c.*",pre,0.063968105184344,0.069663789665694,6.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010301,Health-related self care,post,6.647496863836605,8.317616157960021,675.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010301,Health-related self care,pre,6.602746233926804,7.675853036833447,712.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010399,"Self care, n.e.c.*",post,0.051312005604095004,0.06836513653684001,5.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010399,"Self care, n.e.c.*",pre,0.140369890061798,0.16705919007338002,16.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010401,Personal/Private activities,post,0.256295282140255,0.217464485946465,17.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010401,Personal/Private activities,pre,0.454856475366448,0.488819363261028,46.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010499,"Personal activities, n.e.c.*",post,0.013706229538024998,0.017547964436125,1.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010499,"Personal activities, n.e.c.*",pre,0.02383846600881435,0.02445917697126182,2.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010501,Personal emergencies,post,0.004406651076628438,0.006519754857215,0.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
010501,Personal emergencies,pre,0.006496837955433064,0.012531646734389817,1.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
010599,"Personal care emergencies, n.e.c.*",post,0.0,0.0,0.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
