outcome,post_mode,model_years,coef_per_1sd_exposure,cluster_se,cluster_p_norm,n_obs,groups,robustness_spec,pre_years
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-2.268761976787083,1.0014709486928375,0.023486326802949785,2851,450,main_ai_2017_2021_no2020,"2017,2018,2019,2021"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-3.3292269147464992,1.8384095887403826,0.07015203849546685,2851,450,main_ai_2017_2021_no2020,"2017,2018,2019,2021"
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.8069895592193177,2.1114173940490644,0.18370490691021252,2851,450,main_ai_2017_2021_no2020,"2017,2018,2019,2021"
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-2.2687620153391492,1.0014709618078785,0.023486326261747653,2851,450,pre_2017_2021_with2020,"2017,2018,2019,2020,2021"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-3.329226979253903,1.8384096128251028,0.07015203673614068,2851,450,pre_2017_2021_with2020,"2017,2018,2019,2020,2021"
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.806989570942136,2.1114174071283034,0.18370490779490758,2851,450,pre_2017_2021_with2020,"2017,2018,2019,2020,2021"
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-2.210795658386971,0.9929277768001961,0.02597788145116753,2830,440,pre_2017_2019,"2017,2018,2019"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-3.245180800727809,1.8309415340955506,0.07632636753323976,2830,440,pre_2017_2019,"2017,2018,2019"
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.4714981889111414,2.112571347226459,0.24204102914622508,2830,440,pre_2017_2019,"2017,2018,2019"
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-1.3410593642485011,0.8371063896230315,0.10915166610533544,2844,446,pre_2015_2019,"2015,2016,2017,2018,2019"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-1.7389494382438926,1.5505990132651533,0.262088084099846,2844,446,pre_2015_2019,"2015,2016,2017,2018,2019"
leisure_minutes,post_2023plus,2017-2024 excl 2020,1.811495651234793,1.923322577221144,0.3462656397736316,2844,446,pre_2015_2019,"2015,2016,2017,2018,2019"
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-1.5526765028310763,0.7559133411134545,0.039971786660563634,2851,450,automation_score,"2017,2018,2019,2021"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-0.4549525192870547,0.7699709707917344,0.5546077269011895,2851,450,automation_score,"2017,2018,2019,2021"
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.4991783351743777,2.160299133385584,0.24732678671859484,2851,450,automation_score,"2017,2018,2019,2021"
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-2.930548427431148,1.276286852331464,0.02166720006321962,2851,450,augmentation_score,"2017,2018,2019,2021"
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-3.610568875844365,1.8102709016148235,0.046098431297191454,2851,450,augmentation_score,"2017,2018,2019,2021"
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.9563386094977204,2.0983316340837987,0.15886485651182913,2851,450,augmentation_score,"2017,2018,2019,2021"
