year,exposure_group,total_value,mean_activity_value,activities
2003,high,19.8,2.8285714285714287,7
2003,low,86.4,10.8,8
2004,high,22.2,3.1714285714285713,7
2004,low,82.8,10.35,8
2005,high,22.8,3.257142857142857,7
2005,low,85.2,10.65,8
2006,high,22.8,2.85,8
2006,low,87.0,10.875,8
2007,high,20.400000000000002,2.9142857142857146,7
2007,low,87.6,10.95,8
2008,high,22.8,3.257142857142857,7
2008,low,83.39999999999999,10.424999999999999,8
2009,high,23.4,2.925,8
2009,low,86.39999999999999,10.799999999999999,8
2010,high,23.4,2.925,8
2010,low,87.6,10.95,8
2011,high,19.799999999999997,2.8285714285714283,7
2011,low,85.8,10.725,8
2012,high,22.8,2.85,8
2012,low,85.2,10.65,8
2013,high,25.2,3.15,8
2013,low,86.39999999999999,10.799999999999999,8
2014,high,22.2,3.1714285714285713,7
2014,low,86.4,10.8,8
2015,high,24.0,3.4285714285714284,7
2015,low,88.8,11.1,8
2016,high,22.2,3.1714285714285713,7
2016,low,88.2,11.025,8
2017,high,22.8,3.257142857142857,7
2017,low,88.8,11.1,8
2018,high,22.2,3.1714285714285713,7
2018,low,84.6,10.575,8
2019,high,24.0,3.4285714285714284,7
2019,low,85.8,10.725,8
2021,high,24.6,3.5142857142857147,7
2021,low,94.2,11.775,8
2022,high,21.0,3.5,6
2022,low,92.4,11.55,8
2023,high,20.4,3.4,6
2023,low,94.2,11.775,8
2024,high,19.8,2.8285714285714287,7
2024,low,97.8,12.225,8
