year,activity_code,official_activity_text,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total
2003,020901,Financial management,2.0870172474056394,874,3541592950.75845,20720
2004,020901,Financial management,2.386877586129197,674,3897465335.2675114,13973
2005,020901,Financial management,2.2030096423712062,587,3663356061.715105,13038
2006,020901,Financial management,1.7905750801866023,549,3233015643.677504,12943
2007,020901,Financial management,2.068834682763672,517,3490880700.975912,12248
2008,020901,Financial management,2.004613567762019,506,3527270229.0625467,12723
2009,020901,Financial management,2.1179320702130853,592,3708062666.941184,13133
2010,020901,Financial management,1.8404245939186528,522,3449929455.159832,13260
2011,020901,Financial management,1.5622479135990506,441,2894322825.2699337,12479
2012,020901,Financial management,1.6661853550613182,427,3168768144.921402,12443
2013,020901,Financial management,1.7194941786174713,361,2912590437.02625,11385
2014,020901,Financial management,1.6013268410082027,408,3038567946.8359213,11592
2015,020901,Financial management,1.5649077056611744,423,3216461068.6291895,10905
2016,020901,Financial management,1.6536665326871178,397,3005801825.903676,10493
2017,020901,Financial management,1.5186840948660376,366,3085218164.924017,10223
2018,020901,Financial management,1.5292902466244604,314,2818176959.347911,9593
2019,020901,Financial management,1.718407056143893,359,3294174315.379783,9435
2021,020901,Financial management,1.9549990910348005,292,2859830876.213995,9087
2022,020901,Financial management,1.5559627514295065,296,2815024449.098298,8136
2023,020901,Financial management,1.440888889408711,281,2406237140.914943,8548
2024,020901,Financial management,1.7054460351028853,248,2667592110.421955,7669
2003,020902,Household & personal organization and planning,5.670841541335786,2426,9178072473.22519,20720
2004,020902,Household & personal organization and planning,5.8097807576668075,1746,9848632996.838165,13973
2005,020902,Household & personal organization and planning,6.4102548917284015,1917,11407797418.566402,13038
2006,020902,Household & personal organization and planning,5.630332271767192,2000,12319620270.743853,12943
2007,020902,Household & personal organization and planning,6.272390550703047,1865,12258748509.231188,12248
2008,020902,Household & personal organization and planning,5.472987465688413,1942,12243429833.720146,12723
2009,020902,Household & personal organization and planning,5.766950144565003,2025,13081467395.906958,13133
2010,020902,Household & personal organization and planning,5.473217197246193,1963,12674941411.771557,13260
2011,020902,Household & personal organization and planning,5.647666224312718,1757,11766307078.477947,12479
2012,020902,Household & personal organization and planning,5.87017807146562,1720,11685488855.878002,12443
2013,020902,Household & personal organization and planning,5.961602616477766,1652,12833251330.337551,11385
