activity_code,official_activity_text,pre_mean_minutes,post_mean_minutes,post_minus_pre_minutes,pre_avg_sample_n_positive,post_avg_sample_n_positive,post_minus_pre_avg_sample_n
060301,"Research/homework for class for degree, certification, or licensure",10.211246650165943,8.98969289346024,-1.2215537567057027,284.0,204.0,-80.0
020902,Household & personal organization and planning,6.590695473937035,6.798554840130867,0.2078593661938326,1484.6,1267.5,-217.0999999999999
080401,Using health and care services outside the home,2.9114354232653477,2.927191034830277,0.015755611564929328,286.6,254.0,-32.60000000000002
020904,HH & personal e-mail and messages,1.7356671408501523,1.8018116206601873,0.06614447981003502,491.2,456.5,-34.69999999999999
020901,Financial management,1.6554686480197396,1.5731674622557983,-0.0823011857639413,325.4,264.5,-60.89999999999998
030201,Homework (hh children),1.2190903770563344,0.9671073452952341,-0.25198303176110026,209.2,116.0,-93.19999999999999
020903,HH & personal mail & messages (except e-mail),0.9728261769137753,0.7508312425225088,-0.2219949343912665,490.0,363.0,-127.0
060399,Research/homework n.e.c.*,0.33922043182693085,0.27284976628177005,-0.0663706655451608,14.8,14.5,-0.3000000000000007
080201,Banking,0.26773852975712353,0.1950287105601615,-0.07270981919696204,152.2,109.0,-43.19999999999999
060302,Research/homework for class for pers. interest,0.22159091036857723,0.2814104003312261,0.05981948996264888,16.6,22.5,5.899999999999999
080202,Using other financial services,0.09483772268580429,0.17204720408356217,0.07720948139775788,12.2,9.5,-2.6999999999999993
100103,"Obtaining licenses & paying fines, fees, taxes",0.08135317481918852,0.056331772310774186,-0.025021402508414337,14.6,9.5,-5.1
080402,Using in-home health and care services,0.07488871827010153,0.09848340430667285,0.02359468603657132,11.0,7.5,-3.5
080301,Using legal services,0.040913041722919055,0.018965040470416042,-0.021948001252503013,3.6,4.0,0.3999999999999999
100199,"Using government services, n.e.c.*",0.01609055245117128,0.01809312669220603,0.002002574241034751,1.8,2.0,0.19999999999999996
080399,"Using legal services, n.e.c.*",0.0068292004835302424,0.0,-0.0068292004835302424,0.6,0.0,-0.6
080499,"Using medical services, n.e.c.*",0.006229566904783703,0.019488906461054695,0.013259339556270993,2.8,1.0,-1.7999999999999998
080299,"Using financial services and banking, n.e.c.*",0.0028119620886236743,0.008985588710226571,0.006173626621602897,0.4,1.0,0.6
