year,ai_exposed_minutes,low_exposure_physical_minutes,respondents,weighted_population
2003,24.99709359281495,80.46458691631905,20720,82231180900.71338
2004,25.43434123795781,79.11598940556111,13973,83258298674.06082
2005,25.842587941902508,79.83105746270306,13038,84106031055.5503
2006,25.25323973134577,80.96770473715496,12943,85089676116.73608
2007,25.86384808283485,81.63560798455957,12248,86178611590.07242
2008,26.66070344132544,77.831355927876,12723,87110605127.49521
2009,27.313412409557543,80.62666066723143,13133,87562839263.67044
2010,25.81374214512924,81.98168590710965,13260,88298420349.01132
2011,24.21311198153654,80.61872954152105,12479,88932689145.80133
2012,25.890141015861026,78.78032353626867,12443,90543102852.11398
2013,26.81501245101854,80.09531980233113,11385,91180959380.73985
2014,23.970204902876574,80.11171594358619,11592,92011726950.26212
2015,26.197502466618726,81.53577797484266,10905,93083572397.90904
2016,26.894759356051264,80.9125659202275,10493,94334991186.07903
2017,25.446584813222856,80.46496401700706,10223,94609556505.88104
2018,26.56860014903341,78.12777006142346,9593,95591791614.77617
2019,27.5123413246107,77.96321943499309,9435,96127263296.37027
2021,27.58652747363871,85.37256012386156,9087,96954827934.68292
2022,25.13061474742973,84.15250307107021,8136,97953773079.4473
2023,24.357362374219694,84.78383751311618,8548,99037971127.1773
2024,25.54271834450667,88.78479291694208,7669,99885968916.21191
