year,ai_exposed_sample_n,low_exposure_physical_sample_n,ai_exposed_weighted_engaged_population,low_exposure_physical_weighted_engaged_population,respondents
2003,6772,14187,28225922665.098984,52879320014.038025,20720
2004,4700,9595,28711603801.55461,53831520243.443375,13973
2005,4622,9077,30321934371.83615,55165251298.84268,13038
2006,4674,9096,31495438511.33486,55594899804.95232,12943
2007,4437,8441,31931682258.18274,56132119903.127464,12248
2008,4646,8881,33333137458.16062,56760711930.55521,12723
2009,4854,9330,33036349706.85599,58791740661.89908,13133
2010,4597,9398,31734633976.741386,59138703144.29475,13260
2011,4096,8666,29790236170.756554,58534878762.39036,12479
2012,4005,8670,30209572270.743126,59310194852.21068,12443
2013,3791,7976,31564903946.522793,60406648176.275696,11385
2014,3842,8249,31331146605.489853,61271468183.445335,11592
2015,3747,7840,32497551561.311897,63466022485.380554,10905
2016,3683,7629,33928852755.32284,64829519601.68879,10493
2017,3399,7350,32198250673.24709,64208995054.59334,10223
2018,3136,6925,32701586239.474358,64933913299.93268,9593
2019,3171,6954,33466332721.498264,67427389982.64223,9435
2021,2866,6791,31880883195.08232,69136129598.64119,9087
2022,2504,6075,30514954029.80406,68647591840.57113,8136
2023,2579,6436,29505777011.031216,70582342277.336,8548
2024,2439,5890,31594002618.66702,72958471800.82715,7669
