activity_code,activity_text,bundle,treated_ai,year,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total,post_2023plus,treated_x_post
020101,Interior cleaning,low_exposure_physical,0,2003,21.98553693669536,5653,20166252323.330357,20720,0,0
020102,Laundry,low_exposure_physical,0,2003,11.11428179968337,3870,13883540886.005415,20720,0,0
020103,"Sewing, repairing, & maintaining textiles",low_exposure_physical,0,2003,1.8312643622164213,288,1059512998.7016859,20720,0,0
020104,"Storing interior hh items, inc. food",low_exposure_physical,0,2003,1.6479152642942303,1899,6449893297.628674,20720,0,0
020201,Food and drink preparation,low_exposure_physical,0,2003,23.95644483251642,10328,38412380149.15546,20720,0,0
020202,Food presentation,low_exposure_physical,0,2003,0.35338435436998533,379,1480885072.183337,20720,0,0
020203,Kitchen and food clean-up,low_exposure_physical,0,2003,7.621505905039713,5125,18619777464.557175,20720,0,0
020301,"Interior arrangement, decoration, & repairs",low_exposure_physical,0,2003,4.431719339417883,615,2208349751.561263,20720,0,0
020302,Building and repairing furniture,low_exposure_physical,0,2003,0.5452133152372715,86,308119035.060909,20720,0,0
020303,Heating and cooling,low_exposure_physical,0,2003,0.575871427415336,197,730967617.202959,20720,0,0
020401,Exterior cleaning,low_exposure_physical,0,2003,1.8626532521724306,494,1761059374.864475,20720,0,0
020402,"Exterior repair, improvements, & decoration",low_exposure_physical,0,2003,2.180622150134401,269,950518325.972684,20720,0,0
020501,"Lawn, garden, and houseplant care",low_exposure_physical,0,2003,11.528271112831018,2237,8170464163.716012,20720,0,0
020502,"Ponds, pools, and hot tubs",low_exposure_physical,0,2003,0.28300195231623093,69,303339876.44253796,20720,0,0
020599,"Lawn and garden, n.e.c.*",low_exposure_physical,0,2003,0.020662490788306738,6,22086240.329438,20720,0,0
020681,Care for animals and pets (not veterinary care),low_exposure_physical,0,2003,4.864579262872459,2758,10811862634.324549,20720,0,0
020701,Vehicle repair and maintenance (by self),low_exposure_physical,0,2003,2.917501394616529,683,2666872794.647807,20720,0,0
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",low_exposure_physical,0,2003,1.037380491832098,303,1164814984.796267,20720,0,0
020899,"Appliances and tools, n.e.c.*",low_exposure_physical,0,2003,0.006009953935433677,9,45077579.761482,20720,0,0
020901,Financial management,ai_exposed,1,2003,2.0870172474056394,874,3541592950.75845,20720,0,0
020902,Household & personal organization and planning,ai_exposed,1,2003,5.670841541335786,2426,9178072473.22519,20720,0,0
020903,HH & personal mail & messages (except e-mail),ai_exposed,1,2003,1.8344451804603654,1638,6686325635.198118,20720,0,0
020904,HH & personal e-mail and messages,ai_exposed,1,2003,2.1717096556353472,1000,4331510077.71471,20720,0,0
030201,Homework (hh children),ai_exposed,1,2003,1.8554115610218416,697,2730253671.726456,20720,0,0
060301,"Research/homework for class for degree, certification, or licensure",ai_exposed,1,2003,7.427769368470041,741,3963464716.8462076,20720,0,0
060302,Research/homework for class for pers. interest,ai_exposed,1,2003,0.2682106788555951,51,198953424.268608,20720,0,0
060399,Research/homework n.e.c.*,ai_exposed,1,2003,0.3510313422328278,56,322298141.46071,20720,0,0
080201,Banking,ai_exposed,1,2003,0.3729064630937983,680,2939945632.0595465,20720,0,0
080202,Using other financial services,ai_exposed,1,2003,0.17566617319024175,51,280384522.01719403,20720,0,0
080299,"Using financial services and banking, n.e.c.*",ai_exposed,1,2003,0.014431551492512554,6,42373014.687190995,20720,0,0
080301,Using legal services,ai_exposed,1,2003,0.03298998760798813,14,62245950.72766401,20720,0,0
080399,"Using legal services, n.e.c.*",ai_exposed,1,2003,0.0,0,0.0,20720,0,0
080401,Using health and care services outside the home,ai_exposed,1,2003,2.6250062850757474,533,2665478574.4320397,20720,0,0
080402,Using in-home health and care services,ai_exposed,1,2003,0.024442674201551422,9,32461318.059249,20720,0,0
080499,"Using medical services, n.e.c.*",ai_exposed,1,2003,0.016917469678625247,7,34688517.613982,20720,0,0
100103,"Obtaining licenses & paying fines, fees, taxes",ai_exposed,1,2003,0.06829641305703846,37,210276904.58862597,20720,0,0
100199,"Using government services, n.e.c.*",ai_exposed,1,2003,0.0,0,0.0,20720,0,0
020101,Interior cleaning,low_exposure_physical,0,2004,21.1181121297736,3764,20048276547.683983,13973,0,0
020102,Laundry,low_exposure_physical,0,2004,11.083055245135622,2672,14277481287.692438,13973,0,0
020103,"Sewing, repairing, & maintaining textiles",low_exposure_physical,0,2004,1.704687591135975,202,1083892966.6281772,13973,0,0
020104,"Storing interior hh items, inc. food",low_exposure_physical,0,2004,1.5367418110959916,1264,6359231629.462256,13973,0,0
020201,Food and drink preparation,low_exposure_physical,0,2004,23.065612095116013,7061,39093131928.03061,13973,0,0
020202,Food presentation,low_exposure_physical,0,2004,0.2929848633677069,237,1464213632.2659602,13973,0,0
020203,Kitchen and food clean-up,low_exposure_physical,0,2004,7.582327904094172,3392,18714799409.255722,13973,0,0
020301,"Interior arrangement, decoration, & repairs",low_exposure_physical,0,2004,5.459804153039548,474,2493148912.397602,13973,0,0
020302,Building and repairing furniture,low_exposure_physical,0,2004,0.5204378408007425,63,340543428.81503505,13973,0,0
020303,Heating and cooling,low_exposure_physical,0,2004,0.5369309125620398,143,775908071.1675601,13973,0,0
020401,Exterior cleaning,low_exposure_physical,0,2004,1.8171575524446142,313,1616649878.5715232,13973,0,0
020402,"Exterior repair, improvements, & decoration",low_exposure_physical,0,2004,1.8252773598575198,193,957581973.844362,13973,0,0
020501,"Lawn, garden, and houseplant care",low_exposure_physical,0,2004,11.584532845172934,1441,8191343507.205982,13973,0,0
020502,"Ponds, pools, and hot tubs",low_exposure_physical,0,2004,0.20756319640302348,59,299214544.4068549,13973,0,0
020599,"Lawn and garden, n.e.c.*",low_exposure_physical,0,2004,0.003933133172775632,2,5815640.287464,13973,0,0
020681,Care for animals and pets (not veterinary care),low_exposure_physical,0,2004,4.396509811431352,1826,10708106976.6175,13973,0,0
020701,Vehicle repair and maintenance (by self),low_exposure_physical,0,2004,3.251164564241564,424,2665115797.956765,13973,0,0
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",low_exposure_physical,0,2004,1.2196882924513943,217,1137774160.444552,13973,0,0
020899,"Appliances and tools, n.e.c.*",low_exposure_physical,0,2004,0.0010242945813538269,2,3972735.0286830002,13973,0,0
020901,Financial management,ai_exposed,1,2004,2.386877586129197,674,3897465335.2675114,13973,0,0
020902,Household & personal organization and planning,ai_exposed,1,2004,5.8097807576668075,1746,9848632996.838165,13973,0,0
020903,HH & personal mail & messages (except e-mail),ai_exposed,1,2004,1.7304276961681981,1072,6401027278.551933,13973,0,0
020904,HH & personal e-mail and messages,ai_exposed,1,2004,1.970355111479951,762,4601884379.4022255,13973,0,0
030201,Homework (hh children),ai_exposed,1,2004,1.8128009999722519,460,2682236517.574528,13973,0,0
060301,"Research/homework for class for degree, certification, or licensure",ai_exposed,1,2004,7.839298846064187,515,4028112390.018497,13973,0,0
060302,Research/homework for class for pers. interest,ai_exposed,1,2004,0.4205332369356371,61,318505594.21664596,13973,0,0
060399,Research/homework n.e.c.*,ai_exposed,1,2004,0.20212200257227803,17,205664904.878191,13973,0,0
080201,Banking,ai_exposed,1,2004,0.41874386589361773,433,2826144707.40564,13973,0,0
080202,Using other financial services,ai_exposed,1,2004,0.15684836763787052,35,254221137.48727402,13973,0,0
080299,"Using financial services and banking, n.e.c.*",ai_exposed,1,2004,0.0,0,0.0,13973,0,0
080301,Using legal services,ai_exposed,1,2004,0.05070579136436536,6,43480709.058808,13973,0,0
080399,"Using legal services, n.e.c.*",ai_exposed,1,2004,0.0,0,0.0,13973,0,0
080401,Using health and care services outside the home,ai_exposed,1,2004,2.413167519038662,388,2753625251.44299,13973,0,0
080402,Using in-home health and care services,ai_exposed,1,2004,0.09165167070783688,14,93907437.03370799,13973,0,0
080499,"Using medical services, n.e.c.*",ai_exposed,1,2004,0.04192832992418582,2,22308621.260375,13973,0,0
100103,"Obtaining licenses & paying fines, fees, taxes",ai_exposed,1,2004,0.08721969400704582,28,195922759.31946597,13973,0,0
100199,"Using government services, n.e.c.*",ai_exposed,1,2004,0.0018797623957147892,2,10356185.294706,13973,0,0
020101,Interior cleaning,low_exposure_physical,0,2005,22.70504540487135,3717,20976781885.119164,13038,0,0
020102,Laundry,low_exposure_physical,0,2005,10.708563547077596,2482,14123529481.655704,13038,0,0
020103,"Sewing, repairing, & maintaining textiles",low_exposure_physical,0,2005,2.034864639029836,183,1165306345.3331933,13038,0,0
020104,"Storing interior hh items, inc. food",low_exposure_physical,0,2005,1.2211326250247976,923,5244353201.396067,13038,0,0
020201,Food and drink preparation,low_exposure_physical,0,2005,23.157857545647758,6690,40420496884.56316,13038,0,0
020202,Food presentation,low_exposure_physical,0,2005,0.3436051029944275,296,1773225426.242523,13038,0,0
020203,Kitchen and food clean-up,low_exposure_physical,0,2005,7.2440567939042495,3143,18649827828.47986,13038,0,0
020301,"Interior arrangement, decoration, & repairs",low_exposure_physical,0,2005,4.284051867019669,363,2154753492.854577,13038,0,0
020302,Building and repairing furniture,low_exposure_physical,0,2005,0.45838959808572355,46,293767161.506354,13038,0,0
020303,Heating and cooling,low_exposure_physical,0,2005,0.5394805195207665,119,761324815.5401729,13038,0,0
020401,Exterior cleaning,low_exposure_physical,0,2005,1.8984697415454435,302,1826239454.677237,13038,0,0
020402,"Exterior repair, improvements, & decoration",low_exposure_physical,0,2005,2.3639481342485666,157,975647074.9767071,13038,0,0
