activity_code,activity_text,automation_score,augmentation_score,ai_exposure_score
010101,Sleeping,0.05,0.05,0.05
010102,Sleeplessness,0.05,0.05,0.05
010199,"Sleeping, n.e.c.*",0.05,0.05,0.05
010201,"Washing, dressing and grooming oneself",0.05,0.05,0.05
010299,"Grooming, n.e.c.*",0.05,0.05,0.05
010301,Health-related self care,0.05,0.05,0.05
010399,"Self care, n.e.c.*",0.05,0.05,0.05
010401,Personal/Private activities,0.05,0.05,0.05
010499,"Personal activities, n.e.c.*",0.05,0.05,0.05
010501,Personal emergencies,0.05,0.05,0.05
010599,"Personal care emergencies, n.e.c.*",0.05,0.05,0.05
019999,"Personal care, n.e.c.*",0.05,0.05,0.05
020101,Interior cleaning,0.05,0.05,0.05
020102,Laundry,0.05,0.05,0.05
020103,"Sewing, repairing, & maintaining textiles",0.05,0.05,0.05
020104,"Storing interior hh items, inc. food",0.05,0.05,0.05
020199,"Housework, n.e.c.*",0.05,0.05,0.05
020201,Food and drink preparation,0.05,0.05,0.05
020202,Food presentation,0.05,0.05,0.05
020203,Kitchen and food clean-up,0.05,0.05,0.05
020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",0.05,0.05,0.05
020301,"Interior arrangement, decoration, & repairs",0.05,0.05,0.05
020302,Building and repairing furniture,0.05,0.05,0.05
020303,Heating and cooling,0.05,0.05,0.05
020399,"Interior maintenance, repair, & decoration, n.e.c.*",0.05,0.05,0.05
020401,Exterior cleaning,0.05,0.05,0.05
020402,"Exterior repair, improvements, & decoration",0.05,0.05,0.05
020499,"Exterior maintenance, repair & decoration, n.e.c.*",0.05,0.05,0.05
020501,"Lawn, garden, and houseplant care",0.05,0.05,0.05
020502,"Ponds, pools, and hot tubs",0.05,0.05,0.05
020599,"Lawn and garden, n.e.c.*",0.05,0.05,0.05
020681,Care for animals and pets (not veterinary care),0.05,0.05,0.05
020699,"Pet and animal care, n.e.c.*",0.05,0.05,0.05
020701,Vehicle repair and maintenance (by self),0.05,0.05,0.05
020799,"Vehicles, n.e.c.*",0.05,0.05,0.05
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",0.05,0.05,0.05
020899,"Appliances and tools, n.e.c.*",0.05,0.05,0.05
020901,Financial management,0.65,0.75,0.705
020902,Household & personal organization and planning,0.6,0.65,0.628
020903,HH & personal mail & messages (except e-mail),0.6,0.65,0.628
020904,HH & personal e-mail and messages,0.6,0.65,0.628
020905,Home security,0.6,0.65,0.628
020999,"Household management, n.e.c.*",0.6,0.65,0.628
029999,"Household activities, n.e.c.*",0.05,0.05,0.05
030101,Physical care for hh children,0.05,0.05,0.05
030102,Reading to/with hh children,0.05,0.05,0.05
030103,"Playing with hh children, not sports",0.05,0.05,0.05
030104,Arts and crafts with hh children,0.05,0.05,0.05
030105,Playing sports with hh children,0.05,0.05,0.05
030108,Organization & planning for hh children,0.05,0.05,0.05
030109,Looking after hh children (as a primary activity),0.05,0.05,0.05
030110,Attending hh children's events,0.05,0.05,0.05
030111,Waiting for/with hh children,0.05,0.05,0.05
030112,Picking up/dropping off hh children,0.05,0.05,0.05
030186,Talking with/listening to hh children,0.05,0.05,0.05
030199,"Caring for & helping hh children, n.e.c.*",0.05,0.05,0.05
030201,Homework (hh children),0.65,0.8,0.733
030202,Meetings and school conferences (hh children),0.35,0.8,0.598
030203,Home schooling of hh children,0.35,0.8,0.598
030204,Waiting associated with hh children's education,0.35,0.8,0.598
030299,"Activities related to hh child's education, n.e.c.*",0.35,0.8,0.598
030301,Providing medical care to hh children,0.05,0.05,0.05
030302,Obtaining medical care for hh children,0.05,0.05,0.05
030303,Waiting associated with hh children's health,0.05,0.05,0.05
030399,"Activities related to hh child's health, n.e.c.*",0.05,0.05,0.05
030401,Physical care for hh adults,0.05,0.05,0.05
030402,Looking after hh adult (as a primary activity),0.05,0.05,0.05
030403,Providing medical care to hh adult,0.05,0.05,0.05
030404,Obtaining medical and care services for hh adult,0.05,0.05,0.05
030405,Waiting associated with caring for household adults,0.05,0.05,0.05
030499,"Caring for household adults, n.e.c.*",0.05,0.05,0.05
030501,Helping hh adults,0.05,0.05,0.05
030502,Organization & planning for hh adults,0.05,0.05,0.05
030503,Picking up/dropping off hh adult,0.05,0.05,0.05
030504,Waiting associated with helping hh adults,0.05,0.05,0.05
030599,"Helping household adults, n.e.c.*",0.05,0.05,0.05
039999,"Caring for & helping hh members, n.e.c.*",0.05,0.05,0.05
040101,Physical care for nonhh children,0.05,0.05,0.05
040102,Reading to/with nonhh children,0.05,0.05,0.05
040103,"Playing with nonhh children, not sports",0.05,0.05,0.05
040104,Arts and crafts with nonhh children,0.05,0.05,0.05
040105,Playing sports with nonhh children,0.05,0.05,0.05
040108,Organization & planning for nonhh children,0.05,0.05,0.05
040109,Looking after nonhh children (as primary activity),0.05,0.05,0.05
040110,Attending nonhh children's events,0.05,0.05,0.05
040111,Waiting for/with nonhh children,0.05,0.05,0.05
040112,Dropping off/picking up nonhh children,0.05,0.05,0.05
040186,Talking with/listening to nonhh children,0.05,0.05,0.05
040199,"Caring for and helping nonhh children, n.e.c.*",0.05,0.05,0.05
040201,Homework (nonhh children),0.05,0.05,0.05
040202,Meetings and school conferences (nonhh children),0.05,0.05,0.05
040203,Home schooling of nonhh children,0.05,0.05,0.05
040204,Waiting associated with nonhh children's education,0.05,0.05,0.05
040299,"Activities related to nonhh child's educ., n.e.c.*",0.05,0.05,0.05
040301,Providing medical care to nonhh children,0.05,0.05,0.05
040302,Obtaining medical care for nonhh children,0.05,0.05,0.05
040303,Waiting associated with nonhh children's health,0.05,0.05,0.05
040399,"Activities related to nonhh child's health, n.e.c.*",0.05,0.05,0.05
040401,Physical care for nonhh adults,0.05,0.05,0.05
040402,Looking after nonhh adult (as a primary activity),0.05,0.05,0.05
040403,Providing medical care to nonhh adult,0.05,0.05,0.05
040404,Obtaining medical and care services for nonhh adult,0.05,0.05,0.05
040405,Waiting associated with caring for nonhh adults,0.05,0.05,0.05
040499,"Caring for nonhh adults, n.e.c.*",0.05,0.05,0.05
040501,"Housework, cooking, & shopping assistance for nonhh adults",0.05,0.05,0.05
040502,House & lawn maintenance & repair assistance for nonhh adults,0.05,0.05,0.05
040503,Animal & pet care assistance for nonhh adults,0.05,0.05,0.05
040504,Vehicle & appliance maintenance/repair assistance for nonhh adults,0.05,0.05,0.05
040505,Financial management assistance for nonhh adults,0.05,0.05,0.05
040506,Household management & paperwork assistance for nonhh adults,0.05,0.05,0.05
040507,Picking up/dropping off nonhh adult,0.05,0.05,0.05
040508,Waiting associated with helping nonhh adults,0.05,0.05,0.05
040599,"Helping nonhh adults, n.e.c.*",0.05,0.05,0.05
049999,"Caring for & helping nonhh members, n.e.c.*",0.05,0.05,0.05
050101,"Work, main job",0.05,0.05,0.05
050102,"Work, other job(s)",0.05,0.05,0.05
050103,Security procedures related to work,0.05,0.05,0.05
050189,"Working, n.e.c.*",0.05,0.05,0.05
050201,"Socializing, relaxing, and leisure as part of job",0.05,0.05,0.05
050202,Eating and drinking as part of job,0.05,0.05,0.05
050203,Sports and exercise as part of job,0.05,0.05,0.05
050204,Security procedures as part of job,0.05,0.05,0.05
050289,"Work-related activities, n.e.c.*",0.05,0.05,0.05
050301,"Income-generating hobbies, crafts, and food",0.05,0.05,0.05
050302,Income-generating performances,0.05,0.05,0.05
050303,Income-generating services,0.05,0.05,0.05
050304,Income-generating rental property activities,0.05,0.05,0.05
050389,"Other income-generating activities, n.e.c.*",0.05,0.05,0.05
050403,Job interviewing,0.05,0.05,0.05
050404,Waiting associated with job search or interview,0.05,0.05,0.05
050405,Security procedures rel. to job search/interviewing,0.05,0.05,0.05
050481,Job search activities,0.05,0.05,0.05
050499,"Job search and Interviewing, n.e.c.*",0.05,0.05,0.05
059999,"Work and work-related activities, n.e.c.*",0.05,0.05,0.05
060101,"Taking class for degree, certification, or licensure",0.45,0.6,0.532
060102,Taking class for personal interest,0.2,0.55,0.393
060103,Waiting associated with taking classes,0.2,0.55,0.393
060104,Security procedures rel. to taking classes,0.2,0.55,0.393
060199,"Taking class, n.e.c.*",0.2,0.55,0.393
060201,Extracurricular club activities,0.05,0.05,0.05
060202,Extracurricular music & performance activities,0.05,0.05,0.05
060203,Extracurricular student government activities,0.05,0.05,0.05
060289,"Education-related extracurricular activities, n.e.c.*",0.05,0.05,0.05
060301,"Research/homework for class for degree, certification, or licensure",0.35,0.8,0.598
060302,Research/homework for class for pers. interest,0.35,0.8,0.598
060303,Waiting associated with research/homework,0.35,0.8,0.598
